Episode,Reward
1,-40.587299690309514
2,-33.00584439613706
3,-121.58729969030726
4,-56.98729969030974
5,-150.18729969030565
6,-95.78452405257676
7,-87.78729969030921
8,-71.38729969030996
9,-26.40584439613696
10,-42.58729969030955
11,-58.78452405257777
12,-48.58729969030963
13,-58.68729969030977
14,-39.4845240525775
15,-89.48452405257711
16,-61.58452405257781
17,-111.90584439613548
18,-82.00584439613718
19,-63.784524052577844
20,-33.98729969030941
21,-105.98729969030818
22,-81.28452405257758
23,-14.88452405257735
24,-104.48729969030825
25,-80.40584439613727
26,-95.18729969030879
27,-67.2845240525779
28,-42.88452405257755
29,-15.884524052577346
30,-66.58729969030989
31,-65.50584439613752
32,-145.98729969030592
33,-78.98452405257771
34,-83.78729969030944
35,-210.08729969030227
36,-64.6058443961375
37,-179.887299690304
38,-134.68729969030653
39,-162.78729969030493
40,-86.1845240525773
41,-133.1872996903066
42,-32.284524052577396
43,-29.084524052577354
44,-146.40584439613352
45,-75.6872996903099
46,-115.08729969030763
47,-118.5058443961351
48,-26.38729969030931
49,-238.08729969030065
50,-41.88452405257753
51,-180.48452405257194
52,-179.587299690304
53,-172.3872996903044
54,-29.58452405257736
55,-26.884524052577323
56,-92.70584439613657
57,-66.8872996903099
58,-82.30584439613716
59,-25.884524052577312
60,-35.10584439613709
61,-68.78729969030991
62,-92.58452405257694
63,-381.58729969032544
64,-262.68729969029926
65,-45.584524052577585
66,-204.78729969030258
67,-136.58452405257444
68,-129.8872996903068
69,-113.90584439613536
70,-235.5872996903008
71,-306.08729969030827
72,-127.68729969030692
73,-158.28729969030522
74,-32.884524052577405
75,-163.2872996903049
76,-135.78452405257448
77,-138.3872996903063
78,-49.28452405257764
79,-28.305844396136987
80,-45.18729969030959
81,-75.98729969030988
82,-74.10584439613763
83,-33.38452405257742
84,-64.78452405257786
85,-29.38452405257736
86,-171.08729969030446
87,-90.68729969030905
88,-99.48452405257655
89,-95.88452405257675
90,-63.784524052577844
91,-34.98729969030944
92,-180.58729969030392
93,-71.28729969030995
94,-66.4872996903099
95,-81.88729969030955
96,-96.4872996903087
97,-96.48729969030869
98,-48.484524052577626
99,-30.384524052577373
100,-52.28729969030969
101,-14.88452405257735
102,-26.50584439613696
103,-32.284524052577396
104,-42.88452405257755
105,-77.3845240525778
106,-17.78452405257734
107,-71.88729969030996
108,-37.884524052577476
109,-168.38729969030462
110,-81.38729969030958
111,-191.4872996903033
112,-115.5872996903076
113,-64.10584439613748
114,-36.387299690309455
115,-129.9872996903068
116,-75.28452405257792
117,-167.9058443961323
118,-100.48729969030849
119,-115.30584439613527
120,-56.38729969030974
121,-52.684524052577686
122,-409.9872996903318
123,-30.905844396137024
124,-151.38729969030558
125,-49.80584439613729
126,-73.48729969030998
127,-56.087299690309735
128,-133.8845240525746
129,-67.28729969030991
130,-140.28452405257423
131,-42.684524052577544
132,-68.88729969030992
133,-72.08729969030998
134,-79.98729969030965
135,-43.484524052577555
136,-90.78729969030904
137,-188.98729969030342
138,-57.4058443961374
139,-79.1845240525777
140,-161.28729969030502
141,-29.187299690309356
142,-26.287299690309307
143,-66.80584439613753
144,-62.78452405257783
145,-55.405844396137375
146,-220.98729969030163
147,-56.884524052577746
148,-94.78729969030881
149,-54.88452405257772
150,-93.68452405257688
151,-42.58452405257754
152,-146.58729969030585
153,-23.087299690309315
154,-112.48729969030778
155,-106.28729969030813
156,-59.78452405257779
157,-31.484524052577388
158,-104.88452405257624
159,-118.88452405257544
160,-41.584524052577535
161,-146.98729969030583
162,-412.5872996903325
163,-232.98729969030094
164,-27.084524052577326
165,-70.60584439613758
166,-95.7058443961364
167,-74.88452405257794
168,-153.68729969030545
169,-49.20584439613729
170,-119.90584439613502
171,-108.18729969030802
172,-118.38729969030743
173,-154.88729969030538
174,-30.987299690309374
175,-13.584524052577352
176,-25.78452405257731
177,-135.38729969030646
178,-58.184524052577764
179,-98.08452405257663
180,-98.68729969030859
181,-53.0872996903097
182,-68.98729969030992
183,-32.284524052577396
184,-46.40584439613725
185,-70.48729969030995
186,-26.40584439613696
